ux,uy,uz,Ts,CO2,H2O
 -1.964500, -3.268500, -0.531500,  8.618202, 16.950000,404.700000
 -1.753250, -3.346500, -0.515000,  8.718690, 16.950000,405.200000
 -1.701500, -3.271250, -0.557500,  8.757182, 16.950000,405.000000
 -1.850750, -3.059250, -0.644000,  8.755547, 16.950000,405.300000
 -1.982250, -3.075000, -0.622000,  8.711993, 16.950000,405.300000
 -2.016750, -3.204500, -0.856250,  8.745476, 16.950000,405.200000
 -1.979000, -3.167750, -0.747500,  8.785658, 16.950000,405.500000
 -2.059250, -3.463000, -0.443750,  8.805800, 16.940000,406.400000
 -2.014250, -3.407250, -0.485750,  8.817509, 16.950000,407.100000
 -1.802000, -3.309500, -0.404750,  8.787345, 16.940000,407.800000
 -1.897250, -3.250000, -0.553750,  8.810811, 16.940000,407.500000
 -1.927250, -3.215000, -0.503750,  8.827580, 16.940000,407.100000
 -1.985500, -2.897250, -0.407000,  8.812498, 16.940000,407.600000
 -2.098750, -3.003500, -0.071250,  8.752172, 16.940000,408.200000
 -2.503750, -2.850250, -0.363000,  8.844299, 16.940000,407.900000
 -2.547250, -3.280250, -1.230500,  8.599752, 16.940000,406.800000
 -1.414250, -3.649750, -1.120500,  8.567965, 16.950000,405.200000
 -1.701750, -3.504000, -1.235000,  8.690218, 16.960000,404.100000
 -1.779500, -3.382000, -1.334000,  8.800739, 16.940000,403.900000
 -1.974750, -3.404000, -1.373000,  8.891237, 16.960000,402.200000
 -1.695750, -3.833250, -1.354250,  8.825893, 16.950000,405.500000
 -1.723000, -4.021000, -1.329250,  8.800739, 16.930000,408.500000
 -1.414500, -4.250000, -2.015250,  8.670131, 16.940000,408.300000
 -1.168250, -4.199750, -1.890000,  8.807437, 16.950000,403.900000
 -1.295000, -4.058500, -1.798500,  8.728709, 16.960000,404.200000
 -1.201000, -4.343250, -1.658500,  8.619838, 16.950000,403.900000
 -1.036000, -4.265750, -1.669500,  8.701923, 16.960000,404.000000
 -1.359000, -4.048250, -1.741000,  8.690218, 16.960000,403.800000
 -1.350750, -3.878250, -1.837000,  8.613142, 16.960000,403.500000
 -1.077750, -3.981250, -1.661000,  8.611507, 16.960000,404.200000
 -0.860500, -3.796750, -1.397500,  8.651679, 16.960000,403.500000
 -0.951250, -3.548750, -1.362500,  8.641610, 16.960000,401.900000
 -0.763500, -3.593750, -1.190000,  8.629906, 16.970000,402.000000
 -1.063000, -3.282500, -1.193000,  8.562905, 16.960000,403.400000
 -0.831000, -3.181750, -1.190250,  8.467505, 16.950000,403.200000
 -0.602500, -3.337250, -1.214500,  8.562905, 16.960000,402.400000
 -0.855250, -3.439500, -1.019750,  8.576295, 16.970000,400.900000
 -0.793000, -3.638250, -0.781750,  8.577981, 16.960000,402.100000
 -0.991000, -3.657250, -0.699750,  8.636601, 16.960000,402.100000
 -0.693000, -3.812000, -0.844500,  8.678462, 16.960000,401.300000
 -0.648500, -3.963000, -0.701750,  8.748850, 16.960000,403.800000
 -0.634000, -3.924500, -0.760250,  8.805800, 16.950000,404.300000
 -0.643000, -3.867250, -0.940000,  8.752172, 16.940000,407.200000
 -0.966750, -3.332000, -1.176250,  8.794042, 16.950000,406.200000
 -0.862750, -3.540000, -1.400000,  8.594744, 16.960000,405.000000
